# step L_total L_int L_bdry L_orth L_gradation
120 1.05852976e+01 1.05283489e+01 4.04771417e-02 1.64715126e-02 0.00000000e+00
121 1.05487232e+01 1.05241776e+01 1.91927329e-02 5.35258278e-03 0.00000000e+00
122 1.05334349e+01 1.05224752e+01 9.12497379e-03 1.83460815e-03 0.00000000e+00
123 1.07758236e+01 1.07703075e+01 4.72435262e-03 7.91198050e-04 0.00000000e+00
124 1.05505619e+01 1.05472956e+01 2.76203477e-03 5.04577241e-04 0.00000000e+00
125 1.07344303e+01 1.07320633e+01 1.89968757e-03 4.67557460e-04 0.00000000e+00
126 1.07036715e+01 1.07013922e+01 1.72687671e-03 5.51845354e-04 0.00000000e+00
127 1.07835064e+01 1.07809925e+01 1.96556514e-03 5.48466982e-04 0.00000000e+00
128 1.07790375e+01 1.07763519e+01 2.12447997e-03 5.61025750e-04 0.00000000e+00
129 1.06461248e+01 1.06428928e+01 2.53062276e-03 7.01342069e-04 0.00000000e+00
130 1.05015726e+01 1.04970713e+01 3.51168308e-03 9.90301603e-04 0.00000000e+00
131 1.07210712e+01 1.07117720e+01 6.20394200e-03 3.09600122e-03 0.00000000e+00
132 1.06713743e+01 1.06520672e+01 1.19584696e-02 7.34921591e-03 0.00000000e+00
133 1.02551880e+01 1.02272854e+01 1.70358848e-02 1.08668506e-02 0.00000000e+00
134 9.96290207e+00 9.92462730e+00 2.35853456e-02 1.46897621e-02 0.00000000e+00
135 1.05780592e+01 1.05329609e+01 3.00261825e-02 1.50720542e-02 0.00000000e+00
136 1.07458706e+01 1.06881504e+01 4.23241369e-02 1.53958509e-02 0.00000000e+00
137 1.02332134e+01 1.01541882e+01 6.28533438e-02 1.61718614e-02 0.00000000e+00
138 1.07521133e+01 1.06277981e+01 1.09295838e-01 1.50191914e-02 0.00000000e+00
139 1.06047010e+01 1.04266920e+01 1.61118880e-01 1.68905761e-02 0.00000000e+00
140 1.05674706e+01 1.03570976e+01 1.90775305e-01 1.95982121e-02 0.00000000e+00
141 1.07594385e+01 1.05321712e+01 2.03975707e-01 2.32916735e-02 0.00000000e+00
142 1.00696497e+01 9.83307076e+00 2.08598405e-01 2.79809609e-02 0.00000000e+00
143 1.05786695e+01 1.03330393e+01 1.98641717e-01 4.69885357e-02 0.00000000e+00
144 1.05124149e+01 1.02569456e+01 1.88028008e-01 6.74409047e-02 0.00000000e+00
145 1.05895433e+01 1.03333263e+01 1.73129320e-01 8.30877200e-02 0.00000000e+00
146 9.90163517e+00 9.64645004e+00 1.71432763e-01 8.37524608e-02 0.00000000e+00
147 1.03044653e+01 1.00672245e+01 1.50643244e-01 8.65973234e-02 0.00000000e+00
148 1.05845976e+01 1.03718338e+01 1.39040172e-01 7.37239867e-02 0.00000000e+00
149 1.00359936e+01 9.87750816e+00 1.06041804e-01 5.24431504e-02 0.00000000e+00
150 9.86955452e+00 9.76121426e+00 7.52491876e-02 3.30918692e-02 0.00000000e+00
151 1.05267372e+01 1.04344034e+01 6.95277900e-02 2.28063986e-02 0.00000000e+00
152 1.06633377e+01 1.05899382e+01 5.76599017e-02 1.57397147e-02 0.00000000e+00
153 1.05982447e+01 1.05292187e+01 5.78160137e-02 1.12106642e-02 0.00000000e+00
154 1.06428852e+01 1.05661030e+01 6.79301694e-02 8.85155052e-03 0.00000000e+00
155 1.05300913e+01 1.04514542e+01 7.01878592e-02 8.44972394e-03 0.00000000e+00
156 1.06110668e+01 1.05280457e+01 7.40190521e-02 9.00175050e-03 0.00000000e+00
157 9.89595127e+00 9.80875778e+00 7.66160786e-02 1.05773937e-02 0.00000000e+00
158 1.05253744e+01 1.04224148e+01 8.51095542e-02 1.78495068e-02 0.00000000e+00
159 1.04436884e+01 1.03215218e+01 9.30257812e-02 2.91402098e-02 0.00000000e+00
160 9.66684437e+00 9.49796200e+00 1.22166358e-01 4.67152856e-02 0.00000000e+00
161 1.05575066e+01 1.03494368e+01 1.45297602e-01 6.27716780e-02 0.00000000e+00
162 1.01825113e+01 9.96251583e+00 1.50408611e-01 6.95872158e-02 0.00000000e+00
163 9.98386478e+00 9.74939919e+00 1.63228303e-01 7.12373257e-02 0.00000000e+00
164 1.02802248e+01 1.00695953e+01 1.49782300e-01 6.08471408e-02 0.00000000e+00
165 1.04610214e+01 1.02809143e+01 1.34096459e-01 4.60106730e-02 0.00000000e+00
166 1.01481075e+01 9.99356842e+00 1.22137129e-01 3.24023329e-02 0.00000000e+00
167 1.05049438e+01 1.03675404e+01 1.13921344e-01 2.34821588e-02 0.00000000e+00
168 1.04951668e+01 1.03664064e+01 1.10114112e-01 1.86462961e-02 0.00000000e+00
169 1.05152769e+01 1.03910351e+01 1.08185992e-01 1.60564370e-02 0.00000000e+00
170 1.04528980e+01 1.03292847e+01 1.06076978e-01 1.75359920e-02 0.00000000e+00
171 1.04140482e+01 1.02966385e+01 9.61005390e-02 2.13091634e-02 0.00000000e+00
172 1.03058424e+01 1.01736307e+01 1.04120143e-01 2.80910898e-02 0.00000000e+00
173 1.00950508e+01 9.94736385e+00 1.10791810e-01 3.68951932e-02 0.00000000e+00
174 1.03531828e+01 1.01774111e+01 1.23749584e-01 5.20222113e-02 0.00000000e+00
175 1.02322321e+01 1.00310268e+01 1.38738766e-01 6.24662489e-02 0.00000000e+00
176 1.04981756e+01 1.02995348e+01 1.38611272e-01 6.00302592e-02 0.00000000e+00
177 1.02893448e+01 1.00875587e+01 1.44727096e-01 5.70596159e-02 0.00000000e+00
178 1.01132936e+01 9.90695572e+00 1.53074801e-01 5.32625094e-02 0.00000000e+00
179 1.03016491e+01 1.00969887e+01 1.59397095e-01 4.52631153e-02 0.00000000e+00
180 9.98784924e+00 9.79521084e+00 1.52547598e-01 4.00901735e-02 0.00000000e+00
181 9.93707371e+00 9.74449444e+00 1.53527334e-01 3.90523821e-02 0.00000000e+00
182 9.08343506e+00 8.90416622e+00 1.34408087e-01 4.48606908e-02 0.00000000e+00
183 1.04369278e+01 1.02358541e+01 1.37578383e-01 6.34953082e-02 0.00000000e+00
184 9.90529823e+00 9.70247555e+00 1.38285056e-01 6.45375401e-02 0.00000000e+00
185 9.40220737e+00 9.24662781e+00 1.16399199e-01 3.91810834e-02 0.00000000e+00
186 8.96648598e+00 8.84761047e+00 9.35503840e-02 2.53248438e-02 0.00000000e+00
187 1.08479700e+01 1.07476826e+01 7.74122924e-02 2.28751600e-02 0.00000000e+00
188 9.96957970e+00 9.88081837e+00 6.79440796e-02 2.08172109e-02 0.00000000e+00
189 1.05340929e+01 1.04616718e+01 5.82084730e-02 1.42124379e-02 0.00000000e+00
190 1.00489635e+01 9.98204327e+00 5.61796725e-02 1.07406462e-02 0.00000000e+00
191 1.05758286e+01 1.05125942e+01 5.15752621e-02 1.16590038e-02 0.00000000e+00
192 1.00974874e+01 1.00301418e+01 5.31885326e-02 1.41577646e-02 0.00000000e+00
193 9.96778584e+00 9.88717556e+00 5.77531084e-02 2.28565205e-02 0.00000000e+00
194 1.05007277e+01 1.04133062e+01 6.26651272e-02 2.47568171e-02 0.00000000e+00
195 9.93010712e+00 9.82672405e+00 7.44327605e-02 2.89510898e-02 0.00000000e+00
196 1.05000076e+01 1.03731165e+01 8.60211924e-02 4.08696570e-02 0.00000000e+00
197 1.06352148e+01 1.04654350e+01 1.13113210e-01 5.66663742e-02 0.00000000e+00
198 1.06267891e+01 1.04355898e+01 1.22186475e-01 6.90128356e-02 0.00000000e+00
199 9.53461647e+00 9.33273029e+00 1.29823238e-01 7.20627382e-02 0.00000000e+00
200 9.80020142e+00 9.59835243e+00 1.31804362e-01 7.00446069e-02 0.00000000e+00
201 1.00811663e+01 9.86872578e+00 1.40283585e-01 7.21568614e-02 0.00000000e+00
202 1.04414721e+01 1.02332239e+01 1.39226019e-01 6.90224394e-02 0.00000000e+00
203 9.94791126e+00 9.77420712e+00 1.20099626e-01 5.36038280e-02 0.00000000e+00
204 1.06039400e+01 1.04559412e+01 1.14744931e-01 3.32538709e-02 0.00000000e+00
205 1.06278763e+01 1.05001774e+01 1.06210068e-01 2.14895047e-02 0.00000000e+00
206 9.78783417e+00 9.67406845e+00 9.89273638e-02 1.48386508e-02 0.00000000e+00
207 9.72096634e+00 9.60982895e+00 9.84873325e-02 1.26504535e-02 0.00000000e+00
208 1.01566362e+01 1.00466194e+01 9.79315490e-02 1.20853437e-02 0.00000000e+00
209 1.03452606e+01 1.02382488e+01 9.47532654e-02 1.22585278e-02 0.00000000e+00
210 9.56386852e+00 9.45590305e+00 9.69315469e-02 1.10340575e-02 0.00000000e+00
211 9.92637157e+00 9.81990719e+00 9.47730914e-02 1.16911763e-02 0.00000000e+00
212 9.80273819e+00 9.68505478e+00 1.03429094e-01 1.42548084e-02 0.00000000e+00
