# step L_int L_bdry L_orth
182 1.60824716e-01 6.40524831e-03 1.62233431e-02
183 1.60509527e-01 6.80546649e-03 1.65985432e-02
184 1.58890426e-01 5.86757762e-03 1.68694798e-02
185 1.56997770e-01 6.28202874e-03 1.75333060e-02
186 1.59278959e-01 6.46249577e-03 1.63540617e-02
187 1.56048924e-01 6.19837735e-03 1.64018832e-02
188 1.56970277e-01 6.60806429e-03 1.65773928e-02
189 1.60146117e-01 5.91036724e-03 1.62551422e-02
190 1.59593701e-01 6.50418364e-03 1.72672495e-02
191 1.58168510e-01 6.79831067e-03 1.70598179e-02
192 1.54789001e-01 6.63501909e-03 1.66691542e-02
193 1.58622727e-01 7.39412382e-03 1.67359915e-02
194 1.63079321e-01 5.77266840e-03 1.62579827e-02
195 1.59408286e-01 6.81699626e-03 1.67806819e-02
196 1.57836258e-01 6.27253763e-03 1.66386683e-02
197 1.56613588e-01 6.12624083e-03 1.61313601e-02
198 1.59607559e-01 6.48663659e-03 1.69580802e-02
199 1.56648070e-01 6.36696769e-03 1.72182135e-02
200 1.56590685e-01 6.26867265e-03 1.68474074e-02
201 1.57141849e-01 6.44678529e-03 1.68663356e-02
202 1.58699483e-01 6.60208613e-03 1.67715698e-02
203 1.59847051e-01 6.88667223e-03 1.69701260e-02
204 1.53632700e-01 5.97090460e-03 1.73560418e-02
205 1.61156923e-01 6.32912107e-03 1.67652294e-02
206 1.58924565e-01 6.73699426e-03 1.70487426e-02
207 1.56264961e-01 6.33187266e-03 1.63413566e-02
208 1.54937044e-01 5.81644895e-03 1.72943231e-02
209 1.55017853e-01 6.26403140e-03 1.74392127e-02
210 1.54936418e-01 6.26122020e-03 1.71612445e-02
211 1.55287683e-01 6.26879605e-03 1.67283453e-02
212 1.54638126e-01 6.64305361e-03 1.87031925e-02
213 1.57663733e-01 5.96054550e-03 1.81192737e-02
214 1.50223404e-01 6.13924349e-03 1.77727640e-02
215 1.54694214e-01 6.33551693e-03 1.82350315e-02
216 1.51542753e-01 6.15580054e-03 1.75502747e-02
217 1.51853323e-01 5.76847792e-03 1.76987536e-02
218 1.52208790e-01 6.12347759e-03 1.85747389e-02
219 1.49499625e-01 5.88746276e-03 1.82552990e-02
220 1.50832817e-01 6.34050742e-03 1.78610664e-02
221 1.50940955e-01 5.84098184e-03 1.86709464e-02
222 1.51279852e-01 6.01387955e-03 1.83168892e-02
223 1.48531497e-01 6.10227650e-03 1.86841693e-02
224 1.50733218e-01 6.16583321e-03 1.86104774e-02
225 1.50236368e-01 6.06130715e-03 1.91316511e-02
226 1.48891568e-01 6.65321667e-03 1.89545359e-02
227 1.49575219e-01 6.46234956e-03 1.83189958e-02
228 1.48599222e-01 6.27419585e-03 1.86714921e-02
229 1.45439059e-01 6.23053126e-03 1.91023182e-02
230 1.47228494e-01 6.18317910e-03 1.88972391e-02
231 1.47940725e-01 6.06680848e-03 1.93834100e-02
232 1.44834846e-01 6.30962290e-03 1.95163637e-02
233 1.45920143e-01 6.16233237e-03 1.89601053e-02
234 1.45629749e-01 6.02728035e-03 2.00763084e-02
235 1.44299954e-01 6.49269111e-03 1.98935494e-02
236 1.42320171e-01 6.35943934e-03 2.09981576e-02
237 1.39322415e-01 6.25171559e-03 2.03583203e-02
238 1.42573625e-01 6.31413562e-03 2.03718320e-02
239 1.41713768e-01 6.42799214e-03 2.08145007e-02
240 1.42550692e-01 5.91950584e-03 2.11346261e-02
241 1.45057172e-01 5.41905453e-03 2.08316632e-02
242 1.39300212e-01 5.90229593e-03 2.12811958e-02
243 1.39010459e-01 6.23087212e-03 2.24167798e-02
244 1.40111953e-01 5.55185322e-03 2.15349663e-02
245 1.40055388e-01 5.36940061e-03 2.17923187e-02
246 1.37080014e-01 5.88006619e-03 2.24068668e-02
247 1.36958987e-01 5.59876487e-03 2.20852997e-02
248 1.34873137e-01 5.57402708e-03 2.28075832e-02
249 1.35757253e-01 5.28841326e-03 2.28872430e-02
250 1.39100403e-01 5.52415848e-03 2.37619169e-02
251 1.37014598e-01 5.23098325e-03 2.41168849e-02
252 1.35789752e-01 4.79190983e-03 2.32543666e-02
253 1.36150867e-01 5.24657639e-03 2.25809012e-02
254 1.35615438e-01 5.52875735e-03 2.33073421e-02
255 1.33146599e-01 5.07212523e-03 2.34242678e-02
256 1.35602221e-01 5.88680943e-03 2.42276639e-02
257 1.32007658e-01 5.30006224e-03 2.43509393e-02
258 1.37079641e-01 5.27982507e-03 2.34315284e-02
259 1.35298789e-01 5.72331669e-03 2.40023080e-02
260 1.39390051e-01 4.59458306e-03 2.42381059e-02
261 1.32452890e-01 4.38758684e-03 2.48325560e-02
