# step L_total L_int L_bdry L_orth
183 1.81654498e-01 1.58000380e-01 6.72483444e-03 1.69292819e-02
184 1.81624472e-01 1.57611400e-01 6.54174993e-03 1.74713340e-02
185 1.81698814e-01 1.57554090e-01 6.15782244e-03 1.79869104e-02
186 1.84149832e-01 1.60909444e-01 6.38978463e-03 1.68506075e-02
187 1.79066390e-01 1.54849306e-01 6.55176397e-03 1.76653266e-02
188 1.82551265e-01 1.58467799e-01 6.45093573e-03 1.76325236e-02
189 1.78623587e-01 1.54436022e-01 6.77039474e-03 1.74171589e-02
190 1.81960553e-01 1.57951728e-01 6.58090785e-03 1.74279176e-02
191 1.79102182e-01 1.53515220e-01 7.18353968e-03 1.84034295e-02
192 1.77140325e-01 1.53341338e-01 6.01966586e-03 1.77793279e-02
193 1.81370303e-01 1.57266021e-01 6.84457598e-03 1.72597021e-02
194 1.77432477e-01 1.53253078e-01 6.61085499e-03 1.75685417e-02
195 1.79228812e-01 1.54634893e-01 6.56092400e-03 1.80329960e-02
196 1.78043991e-01 1.54067144e-01 6.42890250e-03 1.75479520e-02
197 1.81332439e-01 1.56329438e-01 7.18271919e-03 1.78202838e-02
198 1.82585701e-01 1.57255843e-01 6.91977702e-03 1.84100904e-02
199 1.80538774e-01 1.54517084e-01 7.26611353e-03 1.87555645e-02
200 1.77997097e-01 1.53437659e-01 6.31430419e-03 1.82451345e-02
201 1.79871365e-01 1.54931664e-01 7.08426395e-03 1.78554319e-02
202 1.77494287e-01 1.52470037e-01 6.76086266e-03 1.82633884e-02
203 1.79100424e-01 1.55271664e-01 6.45017158e-03 1.73785891e-02
204 1.76410735e-01 1.52150691e-01 6.64105220e-03 1.76189970e-02
205 1.75680280e-01 1.50722861e-01 6.52423501e-03 1.84331872e-02
206 1.77419364e-01 1.53036729e-01 6.25180081e-03 1.81308445e-02
207 1.74601987e-01 1.50631458e-01 6.43115770e-03 1.75393708e-02
208 1.75765783e-01 1.51806951e-01 6.57707639e-03 1.73817575e-02
209 1.76330626e-01 1.51977137e-01 6.56711776e-03 1.77863725e-02
210 1.75462037e-01 1.49591386e-01 7.30477972e-03 1.85658764e-02
211 1.74806327e-01 1.49126887e-01 7.15831341e-03 1.85211245e-02
212 1.74738646e-01 1.49542436e-01 6.59837946e-03 1.85978282e-02
213 1.78986996e-01 1.52513698e-01 7.71718426e-03 1.87561158e-02
214 1.77740842e-01 1.52236208e-01 6.70434255e-03 1.88002847e-02
215 1.83789119e-01 1.57784551e-01 7.29687512e-03 1.87076963e-02
216 1.78053811e-01 1.53491408e-01 6.31586974e-03 1.82465352e-02
217 1.75261155e-01 1.49685636e-01 7.15599209e-03 1.84195247e-02
218 1.76811799e-01 1.51693344e-01 7.00077601e-03 1.81176830e-02
219 1.77583352e-01 1.53096378e-01 6.10083342e-03 1.83861423e-02
220 1.72612354e-01 1.47622094e-01 6.22459408e-03 1.87656675e-02
221 1.77487567e-01 1.51409566e-01 6.48920564e-03 1.95887983e-02
222 1.81603596e-01 1.58254966e-01 5.44925593e-03 1.78993829e-02
223 1.76658109e-01 1.52802795e-01 5.78882545e-03 1.80664845e-02
224 1.76593453e-01 1.50501117e-01 6.64713327e-03 1.94452014e-02
225 1.79012030e-01 1.54171407e-01 5.74757997e-03 1.90930292e-02
226 1.78796321e-01 1.54029131e-01 5.91487903e-03 1.88523103e-02
227 1.74540862e-01 1.49775475e-01 6.09334558e-03 1.86720323e-02
228 1.76409200e-01 1.52970135e-01 5.68846986e-03 1.77505948e-02
229 1.74518421e-01 1.50193244e-01 5.92125719e-03 1.84039231e-02
230 1.75118804e-01 1.49990648e-01 5.90653392e-03 1.92216262e-02
231 1.72283083e-01 1.47269800e-01 6.07083598e-03 1.89424381e-02
232 1.73162982e-01 1.47733718e-01 5.97728370e-03 1.94519814e-02
233 1.70596272e-01 1.45106196e-01 6.16729911e-03 1.93227753e-02
234 1.76218823e-01 1.51354954e-01 5.88951400e-03 1.89743452e-02
235 1.71776325e-01 1.46620363e-01 5.96346287e-03 1.91925056e-02
